,0
tanh-sgd,0.2283171714806969
identity-adam,0.9731960070428527
identity-lbfgs,0.9674571717900297
relu-lbfgs,0.9702705880928298
logistic-sgd,0.18133552356266575
logistic-adam,0.9666189904080777
tanh-lbfgs,0.9687199685828151
relu-sgd,0.20634186615402467
relu-adam,0.9731867207904654
tanh-adam,0.9732033790384634
logistic-lbfgs,0.25061997360518445
identity-sgd,0.23327991855224026
